Site_ID,Name,Lat,Lon,ann_GPP,upper_GPP,ann_ER,lower_ER,ndays,nyears,coverage,Elev,IGBP,MATemp_C,MAPrecip_mm
FI-Sod,Sodankyla,67.3619,26.6378,628.4926428571429,6.785406,-711.9496428571429,-6.043051999999999,3695,14,0.72,180,ENF,-1,500
FR-Fon,Fontainebleau-Barbeau,48.4764,2.7801,1816.767,14.317509999999995,-1174.895,-6.9855575000000005,3212,10,0.88,103,DBF,10.2,720
FR-Gri,Grignon,48.8442,1.9519,1565.591111111111,14.698775,-980.6337777777778,-6.6992785,3446,10,0.94,125,CRO,12,650
FR-LBr,Le Bray (after 6/28/1998),44.7171,-0.7693,1919.3107692307692,10.691175,-1516.0123076923078,-7.4428659999999995,4698,13,0.99,61,ENF,13.6,900
FR-Pue,Puechabon,43.7414,3.5958,1215.6042666666667,6.894056,-978.5511333333334,-5.290933,5445,15,0.99,270,EBF,13.5,883
GF-Guy,Guyaflux (French Guiana),5.2788,-52.9249,3719.72,13.132299999999999,-3559.657272727273,-13.00139,4017,11,1,48,EBF,25.7,3041
IT-BCi,Borgo Cioffi,40.5238,14.9574,1849.58,17.562649999999998,-1589.669,-9.419361,3271,10,0.9,20,CRO,18,600
IT-CA1,Castel d'Asso 1,42.3804,12.0266,1470.99,9.8855875,-1073.95325,-5.19992,1436,4,0.98,200,DBF,14,766
IT-CA2,Castel d'Asso 2,42.3772,12.026,851.1500000000001,8.774166000000001,-819.2027499999999,-4.22547,1297,4,0.89,200,CRO,14,766
IT-CA3,Castel d'Asso 3,42.38,12.0222,1226.09475,12.661715,-741.773,-4.56611,1448,4,0.99,197,DBF,14,766
IT-Col,Collelongo- Selva Piana,41.8494,13.5881,1635.6421052631579,13.11271,-803.0393684210526,-4.429568000000001,5808,19,0.84,1560,DBF,6.3,1180
IT-Cp2,Castelporziano 2,41.7043,12.3573,2087.1133333333332,9.193887999999998,-1387.4833333333333,-6.296542499999999,1093,3,1,19,EBF,15.2,805
IT-Cpz,Castelporziano,41.7052,12.3761,2014.7233333333334,9.07472,-1452.141111111111,-7.1489234999999995,3281,9,1,68,EBF,15.6,780
IT-Isp,Ispra ABC-IS,45.8126,8.6336,2095.795,15.30206,-2055.51,-9.8841645,669,2,0.92,210,DBF,12.2,1300
IT-La2,Lavarone2,45.9542,11.2853,2470.34,12.209590000000002,-1091.6433333333334,-7.0348425,1063,3,0.97,1350,ENF,7.2,1150
IT-Lav,Lavarone,45.9562,11.2813,2245.6358333333333,12.574850000000001,-402.45825,-3.1284389999999997,4351,12,0.99,1353,ENF,7.8,1291
IT-MBo,Monte Bondone,46.0147,11.0458,1428.9545454545455,12.912209999999998,-1384.7118181818182,-9.5795955,3544,11,0.88,1550,GRA,5.1,1214
IT-Noe,Arca di Noé - Le Prigionette,40.6061,8.1515,1097.7163636363637,6.37952,-906.7957272727273,-4.1302255,3901,11,0.97,25,CSH,15.9,588
IT-PT1,Parco Ticino forest,45.2009,9.061,1646.4233333333334,13.286940000000001,-1123.962,-6.619277499999999,993,3,0.91,60,DBF,12.7,984
IT-Ren,Renon,46.5869,11.4337,1421.75725,9.683902,-699.7,-4.6193835,3953,12,0.9,1730,ENF,4.7,809.3
IT-Ro1,Roccarespampani 1,42.4081,11.93,1489.01,11.512474999999998,-1219.2914444444443,-7.006392999999999,3196,9,0.97,235,DBF,15.15,876.2
IT-Ro2,Roccarespampani 2,42.3903,11.9209,1460.617,12.47750499999999,-771.6698,-4.5362599999999995,3148,10,0.86,160,DBF,15.15,876.2
IT-SR2,San Rossore 2,43.732,10.291,2318.6549999999997,12.222850000000001,-1985.5949999999998,-10.46181,719,2,0.98,4,ENF,14.2,920
IT-SRo,San Rossore,43.7279,10.2844,2097.2092857142857,11.205795,-1698.5314285714285,-9.12283,5092,14,1,6,ENF,14.2,920
IT-Tor,Torgnon,45.8444,7.5781,1017.2827142857143,9.4098265,-857.8302857142858,-5.179152,1834,7,0.72,2160,GRA,2.9,920
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,1034.805,10.240075000000001,-652.4735000000001,-4.910415,632,2,0.86,NA,DBF,NA,NA
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,1643.0620000000001,9.21968,-1635.0159999999998,-7.5761225,1771,5,0.97,NA,MF,NA,NA
NL-Hor,Horstermeer,52.2404,5.0713,1617.5675,10.801139999999998,-1340.8975,-7.767316,2864,8,0.98,2.2,GRA,10,800
NL-Loo,Loobos,52.1666,5.7436,1623.0017647058824,9.925044999999999,-1235.8241176470588,-6.488616,6415,18,0.98,25,ENF,9.8,786
NO-Adv,Adventdalen,78.186,15.923,358.151,4.34642,-290.608,-2.2562474999999997,793,3,0.72,NA,NA,NA,NA
NO-Blv,"Bayelva, Spitsbergen",78.9216,11.8311,40.6549,0.5798097499999999,-38.553,-0.27817225,230,1,0.63,NA,NA,NA,NA
RU-Che,Cherski,68.613,161.3414,437.9545,4.8281775,-251.63400000000001,-2.52672,516,2,0.71,6,WET,-11,197
RU-Cok,Chokurdakh,70.8291,147.4943,385.4258,4.888067499999997,-232.07749,-2.41718,2740,10,0.75,48,OSH,-14.3,232
RU-Fyo,Fyodorovskoye,56.4615,32.9221,1486.9070588235295,11.951244999999998,-1628.115882352941,-11.181939999999999,5424,17,0.87,265,ENF,3.9,711
RU-Ha1,Hakasia steppe,54.7252,90.0022,605.425,5.3855375,-447.471,-3.8472975000000003,946,3,0.86,446,GRA,-0.07,591.87
SD-Dem,Demokeya,13.2829,30.4783,936.36775,7.102368499999999,-607.985,-3.43107,1448,4,0.99,500,SAV,26,320
SN-Dhr,Dahra,15.4028,-15.4322,1982.473,14.40289,-1434.564,-7.3765,1458,4,1,40,SAV,29,404
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,521.0865,5.799943500000001,-623.31625,-4.05123,1262,4,0.86,611,GRA,NA,NA
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,319.49235,4.027972499999999,-354.812,-2.58839,1180,4,0.81,646,GRA,NA,NA
US-ARb,ARM Southern Great Plains burn site- Lamont,35.5497,-98.0402,1062.1755,12.839614999999997,-1025.9234999999999,-7.1972705,484,2,0.66,424,GRA,NA,NA
